Tick 0: Plants: 955, Herbivores: 1051, Carnivores: 592
Tick 1: Plants: 782, Herbivores: 863, Carnivores: 576
Tick 2: Plants: 716, Herbivores: 833, Carnivores: 557
Tick 3: Plants: 729, Herbivores: 844, Carnivores: 573
Tick 4: Plants: 813, Herbivores: 1025, Carnivores: 520
Tick 5: Plants: 698, Herbivores: 903, Carnivores: 617
Tick 6: Plants: 643, Herbivores: 883, Carnivores: 663
Tick 7: Plants: 649, Herbivores: 948, Carnivores: 686
Tick 8: Plants: 625, Herbivores: 888, Carnivores: 705
Tick 9: Plants: 592, Herbivores: 930, Carnivores: 779
Tick 10: Plants: 686, Herbivores: 1077, Carnivores: 838
Tick 11: Plants: 593, Herbivores: 882, Carnivores: 853
Tick 12: Plants: 577, Herbivores: 973, Carnivores: 943
Tick 13: Plants: 652, Herbivores: 1167, Carnivores: 1025
Tick 14: Plants: 531, Herbivores: 899, Carnivores: 1022
Tick 15: Plants: 516, Herbivores: 892, Carnivores: 1077
Tick 16: Plants: 503, Herbivores: 796, Carnivores: 1122
Tick 17: Plants: 548, Herbivores: 910, Carnivores: 1245
Tick 18: Plants: 496, Herbivores: 768, Carnivores: 1131
Tick 19: Plants: 493, Herbivores: 749, Carnivores: 1159
Tick 20: Plants: 534, Herbivores: 752, Carnivores: 1267
Tick 21: Plants: 517, Herbivores: 660, Carnivores: 1185
Tick 22: Plants: 530, Herbivores: 605, Carnivores: 1207
Tick 23: Plants: 533, Herbivores: 540, Carnivores: 1169
Tick 24: Plants: 548, Herbivores: 494, Carnivores: 1193
Tick 25: Plants: 548, Herbivores: 453, Carnivores: 1194
Tick 26: Plants: 583, Herbivores: 380, Carnivores: 1122
Tick 27: Plants: 596, Herbivores: 334, Carnivores: 1314
Tick 28: Plants: 593, Herbivores: 288, Carnivores: 1145
Tick 29: Plants: 601, Herbivores: 225, Carnivores: 1146
Tick 30: Plants: 680, Herbivores: 181, Carnivores: 1359
Tick 31: Plants: 666, Herbivores: 149, Carnivores: 1319
Tick 32: Plants: 767, Herbivores: 124, Carnivores: 1535
Tick 33: Plants: 693, Herbivores: 93, Carnivores: 1229
Tick 34: Plants: 721, Herbivores: 81, Carnivores: 1269
Tick 35: Plants: 697, Herbivores: 75, Carnivores: 1190
Tick 36: Plants: 695, Herbivores: 52, Carnivores: 1196
Tick 37: Plants: 739, Herbivores: 43, Carnivores: 1260
Tick 38: Plants: 764, Herbivores: 31, Carnivores: 1338
Tick 39: Plants: 713, Herbivores: 31, Carnivores: 1163
